# layer number, internal velocity [/c], epsilon_r
1,0.421488356008890,5.628968745717801
2,0.493185766217964,4.111297764029599
3,0.408817967358068,5.983289971823907
4,0.492112501655581,4.129250252031742
5,0.410137569709185,5.944849886078582
6,0.494635074719592,4.087240394547165
7,0.407469635184172,6.022953345206790
8,0.487688425124076,4.204507231752419
9,0.410561984184048,5.932565376870459
10,0.467200171232845,4.581355714783131
11,0.411803626873571,5.896844363139502
12,0.503618462286237,3.942727070413622
13,0.409500360750202,5.963365419853441
14,0.473977356931444,4.451278940430059
15,0.406216695385737,6.060165188726548
16,0.534890574631174,3.495184530824767
17,0.403953823792117,6.128251116840810
18,0.552660117186144,3.274038261754349
